,Unnamed: 0,years,patent_abstract,patent_id
57925,394099,1980s,"A reproduction machine for making either single sided or duplex copies, and incorporating automatic document handler and sorter for handling original documents being copied and copies made. To enable copy quality to be checked, either when the machine is stopped or in the midst of a copy run, a sample copy is provided for. Where the sample copy is selected during a copy run, an accommodation in copy billing rate is made.",4181429
57932,572561,1980s,"A new system of serially culturing anterior pituitary gland cells in a new nutrient medium under open aeration to produce large amounts of pituitary hormones. Using the new system of culture and new nutrient media, the pituitary cells can be grown in vitro to produce in approximately three weeks 10 to 12 times the amount of extractable hormone originally present in the original tissue.",4288546
57952,352055,1980s,"In pneumatic radial tires for running on rough ground, which are useful for applying to construction vehicles and provided with a tread reinforcing layer composed of a plurality of belts embedded in a crown portion of the tires, which surrounds a carcass composed of at least one cord layer arranged in radial plane of the tire, said tread reinforcing layer comprises a pair of main intersecting belts having different belt width in which cords are arranged so as to intersect with each other across an equator of the tire, and supplemental two belts arranged in the inside and outside of said pair of main intersecting belts respectively, in which cords have an elongation at breakage of at least 40% larger than that of the cords of the main intersecting belts, and an angle of the cords in the belt having the smaller width in the main intersecting belts with respect to the above described equator is 2.degree.-9.degree. smaller than the angle of the cords in the belt having the larger width and an angle of the cords of the supplemental belt positioning between the main intersecting belts and the carcass ply is 35.degree.-60.degree..",4446905
57976,199839,1980s,"A drilling fluid additive is disclosed which will prevent water loss into subterranean formations during the drilling of oil and gas wells in hard brine environments. The drilling fluid additive comprises a hydrocarbon, an anionic surfactant, an alcohol, a sulfonated asphalt, a biopolymer, and optionally an organophilic clay, poly(N-vinyl-2-pyrrolidone-co-sodium-2-acryamido-2-methylpropane sulfonate, and water.",4743383
57992,560170,1980s,"A thermoplastic bag structure having, in its lay-flat condition, a front and rear bag wall, two-film heat seal bottom; the outer side margins of the full length of said bag being folded toward but spaced from each other. The top most edge of each fold is heat sealed through the four films thereof along lines corresponding to the width of the folds. An open mouth top portion being characterized by having double film handle loops at opposite ends of said mouth, said double film loops being extensions of the folded regions of said bags and the corresponding regions of said front and rear walls. The bag structures can be unitized by providing a detachable tab at the bag mouth opening and unitizing the bag structures through this tab. The method of forming said bags involves providing an end sealed collapsed thermoplastic film tube, folding the sides of the tube toward but spaced from each other, heat sealing one end of the tube through four layers thereof and removing plastic from this end of the structure to form a bag mouth and handles at one end thereof. The resulting bag is an ungusseted bag which can be unitized into a pack by providing a detachable, unitizing tab at the bag mouth opening.",4819806
58043,168472,1980s,"A slide fastener stringer having a continuous zigzag-shaped thermoplastic molded coupling element strip. The strip includes a succession of spaced coupling elements, each having a pair of first and second legs extending from a head in a common direction, and a plurality of first and second solid connecting portions alternately disposed at opposite sides of the strip and extending one between each adjacent pair of the coupling elements. Each first connecting portion and each second connecting portion extend between an adjacent pair of the first legs and between an adjacent pair of the second legs, respectively. The connecting portions are thin or more slender than the legs. A pair of connector threads extends transversely of the coupling elements through the full length of the strip and they are embedded in the first and second legs, respectively, of each coupling element, each connector thread being disposed close to and extending along a respective one of such two series of the first and second connecting portions.",4639981
58050,453585,1980s,A method and device for simultaneously collecting cytology cell samples from the endocervix and exocervix are disclosed. The device includes a handle for manipulating and rotating the device. Adjacent the handle is an intermediate cell collecting surface which is sized and configured to scrape cell samples from the exocervix when it is in contact with the exocervix and the device is rotated. The device also includes a distal cell collecting surface adjacent the intermediate cell collecting surface. The distal section is sized and configured to scrape cytology cell samples from the endocervical canal when it is located within the canal and in contact with the walls thereof and the device is rotated. The distal and intermediate surface are further positioned on the device with respect to each other to enable the endocervical canal and exocervix to be scraped simultaneously as the device is rotated.,4754764
58070,529072,1980s,"A current collecting equipment for a fuel cell assembly of the kind wherein a current collector, a heat resisting insulator and an end plate are in turn being mounted on each end of a fuel cell stack is characterized in that the current collector comprises a plurality of current collecting sections arranged with spaces between sides of the adjacent sections, and that terminals are respectively connected to the current collecting sections and brought out through the end plate. The current collecting equipment may comprises four current collecting sections, a conductor frame provided with four through holes at its corners and four inner terminals being connected to each section and connected to the conductor frame, and an output terminal mounted on the frame and brought out through the end plate.",4719157
58077,65778,1980s,"A vibration isolating apparatus employed for mounting, for example, the engine of an automobile includes a tube communicated with a hollow chamber which is expanded and contracted by vibrations generated in the engine. The tube is provided therein with a mass member which has a larger density than that of a fluid sealed inside the hollow chamber. The mass member is movable by means of the circulation of the fluid inside the tube. Accordingly, the mass member encourages the occurrence of resonance of the fluid inside the tube, whereby the vibrations are absorbed by means of the air-column resonance.",4611782
58107,434034,1980s,"An internally reflecting rotating polygon system for correcting wobble by double reflection from the active facet without bow is disclosed. Instead of the impinging light source being transverse to the axis of rotation of a rotating polygon, this rotating polygon 52 having internally reflecting facets 54 at a draft angle to the axis of rotation, a collimated light source impinges upon a rotating polygon 52 with the facets 54 having the predetermined draft angle D. A., and angles of incidence at the first and second reflections. By two further reflections, 56, 58, the light is then reimpinged upon the same facet 54; wobble is similarly corrected, but with no effects of bow.",4662709
58142,390204,1980s,"Novel L-carnitine and alkanoyl L-carnitine salts and a process for their preparation are disclosed. The salts have the general formula ##STR1## wherein X.sup.- is an anion of acid aspartate, acid citrate, acid phosphate, acid fumarate, lactate, acid maleate, acid oxalate, acid sulphate or orotate; PA1 R is hydrogen provided that X.sup.- is other than the orotate anion, or lower alkanoyl selected among acetyl, propionyl and butyryl; and PA1 n is 1/2 if X.sup.- is orotate, and 1 if X.sup.- is one of the other anions. Since they are not hygroscopic, these salts can be easily compounded and are favorably suitable for manufacturing solid administration forms. Their aqueous solutions are less acid than those of the corresponding chlorides: consequently, these salts are also suitable for manufacturing injectable administration forms.",4602039
58146,559579,1980s,A method for locating an ocean bottom seismic cable is disclosed wherein a series of shots from a seismic pulse generator are fired. The distance to one seismic pulse detector is determined for each shot defining a spherical surface upon which the detector may be located. The intersection of the spherical surfaces determine the exact location of the detector. Depth detectors may be used to eliminate one half of the possible locations for each shot.,4641287
58170,351881,1980s,"A coating rubber composition for tire cords is disclosed. This composition is an unvulcanized rubber composition comprising 3-40 parts by weight of short fibers of syndiotactic-1,2-polybutadiene having a maximum diameter of not more than 10.mu. and an average diameter of less than 1.mu. and 30-120 parts by weight of carbon black, on a basis of 100 parts by weight of a rubber, and has a swelling value of not more than 140% in the extrusion at 100.degree. C.",4215021
58197,558081,1980s,Ketones are converted in one step to saturated dimeric ketones by passing them over a zeolite having a silica to alumina ratio of at least 12 and a Constraint Index of from 1 to 12 and containing a Group VIII metal.,4339606
58210,432824,1980s,"Disclosed are toners comprised of a colorant or pigment in a resin of an acrylate polymer of the following typical formula: ##STR1## wherein R.sup.1 and R.sup.3 are independently selected from hydrogen, alkyl, or substituted alkyl radicals, R.sup.2 is independently selected from alkyl, aryl, substituted alkyl, substituted aryl radicals and R.sup.4, R.sup.5 and R.sup.6 are independently selected from hydrogen, alkyl, aryl, substituted alkyl, and substituted aryl; radicals x is an anion, n is a number of from 1 to about 20 and w, y and z are numbers of from 20 to about 1,400, or ##STR2## wherein R.sup.1 is independently selected from hydrogen, alkyl or substituted alkyl radicals; R.sup.2 is alkyl, aryl, substituted alkyl, or substituted aryl radicals; R.sup.3, and R.sup.4 are independently selected from hydrogen, alkyl, aryl, substituted alkyl or substituted aryl radicals, and y and z are numbers of from 20 to about 1,400.",4299898
58228,433347,1980s,"An ink jet droplet exciter for generating pressure waves in a droplet generator. The preferred exciter is a composite made of PZT, Pb (Zr:Ti) O.sub.3, and a polyethylene supporting material. The mean diameter of the PZT particles is 7 mils and the entire exciter thickness is between 10 and 12 mils. The composite is pliable and can be made in sheets of a large enough area to provide droplet excitation for a multiple nozzle generator.",4449134
58254,432978,1980s,"A light collector for collecting light reflected from a photoconductive surface bearing a developed image and scanned by a flying spot scanner. The collector includes a rod-like element, the central core of which is made up of a relatively rigid transparent material. The core is encased by a cladding material having an index of refraction lower than that of the core. A light diffusing coating is provided on the outer surface of the cladding material, except for a slit-like aperture for receiving light reflected from the photoconductive surface. In an alternate embodiment, the dimention of the light receiving aperture is varied uniformly along the length of the collector, the size of the aperture at the collector center being at a minimum. In a further embodiment, a slit-like axial section of the cladding material opposite the light receiving aperture is removed and replaced by a highly reflecting, light diffusing coating.",4336993
58260,331991,1980s,"A new variety of shrub rose plant having a profuse and continuous production of medium-sized flowers of bright red coloration, the plant being free branching, bushy, and erect in its growth habit and exhibiting an ability to survive Midwestern winter temperatures without weather protection. The plant also shows good field tolerance to foliar diseases such as Blackspot and Powdery Mildew.",PP5760
58293,213694,1980s,"Binding agent compositions for inorganic fillers or oxides containing a curable binder such as a hardenable resin, and a ureido-functional organosilicon compound as described. Foundry sand compositions including binding agent compositions as described, sand and a catalyst for the hardenable resin. Shaped products comprising inorganic oxide particles, e.g., sand, a binding agent composition as described and catalyst for the hardenable resin wherein the hardenable resin is in its hardened form. Novel ureido-functional organosilicon compounds having two hydrolyzable or hydroxy groups to the molecule and at least one ureido-functional group in which the ureido group is connected to silicon by means of a group containing at least five carbon atoms.",4626560
58327,558518,1980s,Raw shale oil is selectively dewaxed to lower the pour point by contacting a shale oil charge with a low acid crystalline zeolite. The low acid catalysts can be formed by extensive ion exchange of ZSM-5 type catalysts. The shale oil is dewaxed in the absence of hydrogen at high temperature and low pressure.,4428826
58328,425035,1980s,"Filler material, particularly for cigarette filters, is produced by feeding a stream of substantially continuous fibres of filter material onto a pin roller having a surface carrying sharp projections in the form of pins and the pin roller is driven at a speed such that the fibres are rapidly accelerated so as to be broken by the pins into irregular lengths and are projected from the roller in random orientations. The broken fibres may be collected as a stream for delivery to a rod-making unit by showering onto a conveyor band, by continuously rolling the fibres between cooperating rollers, or pneumatically. More than one stream could be supplied to the pin roller, so that the broken fibres can comprise a mixture of fibres of different filter materials. The broken fibres may be received on a substantially continuous carrier stream, comprising similar or different filtering material, before the fibres and carrier stream are formed into filter rod.",4593706
58362,560023,1980s,"A core sample of a porous media of identified porosity at atmospheric conditions is saturated with a fluid having an identified X-ray attenuation coefficient. The fluid saturated sample is scanned with X-rays. Confining stress is applied to the sample and the sample is again scanned with X-rays. Porosity of the sample at confining stress is then determined from the porosity at zero confining stress, the X-ray attenuation coefficient of the saturating fluid, and X-ray attenuation coefficients determined from the scanning of the sample at both atmospheric conditions and at confining stress. Pore volume compressibility is determined from the changes in porosity and X-ray attenuation coefficients from atmospheric to confining stress conditions.",4782501
58387,199093,1980s,"A system for recovering vapor, such as residual isobutane, from powder, such as polyethylene powder, comprises surge vessel and a two-compartment purge column. The polymer passes through the surge vessel by means of valves such as ball valves on the inlet and outlet of the surge vessel. Hot vapor, such as isobutane, is used to strip a large portion of the residual isobutane from the polyethylene in the top section of the purge column. Part of the isobutane leaving the column goes to a hydrocarbon recovery section and part is heated and recycled as the stripping medium. In the bottom section, nitrogen is used to strip the remaining isobutane from the polymer. An analyzer controller sensing nitrogen in the isobutane stream to recovery controls pressure in the bottom section by manipulating a valve in the nitrogen off-gas line from the bottom section to control the nitrogen content of the isobutane stream being recycled as stripping medium.",4499263
58388,558893,1980s,In-situ combustion of tar sand formations is improved by introducing into an unminable tar sand formation prior to initiation of in-situ combustion hydrogen sulfide produced from upgrading tar sands from a minable tar sand formation in an area proximate the area of the unminable formation. The stream of hydrogen sulfide may contain a small proportion of hydrocarbons condensible at temperature and pressure conditions of the unminable formation. The improvement is applicable to both forward and reverse in-situ combustion processes.,4499949
58422,213751,1980s,"Compositions comprising higher alkyl modified epoxy silicone terpolymers having the general formula: PA1 MD.sub.x D'.sub.y D"".sub.z M wherein PA1 M=R.sub.3 SiO.sub.1/2 PA1 D=R.sub.2 SiO PA1 D'=E--C.sub.b H.sub.2b Si(R)O PA1 E is either ##STR1## D""=R'Si(R)O R+lower alkyl of 1 to 6 carbon atoms PA1 R'-high alkyl of at least 6 carbon atoms PA1 r=0 to 7 PA1 b=2 to 12 PA1 x=20 to 500 PA1 y=4 to 15 PA1 z=4 to 40 ##EQU1## said higher alkyl modified epoxy silicones are formed into aqueous emulsions using anionic and non-ionic emulsifiers. The resulting emulsions are useful as fiber and/or textile finishes.",4661405
58483,434184,1980s,"An apparatus in which the concentration of toner particles used to form a highlight color document is controlled. The percentage of the document arranged to have highlight color portions thereon is determined and a first signal corresponding thereto generated. A second signal corresponding to the rate of toner particle usage per document is transmitted. A third signal corresponding to the total number of documents being reproduced is produced. The first, second and third signals are multiplied to generate a control signal corresponding to the required dispense rate for the toner particles forming the highlight color portions of the document.",4721978
58497,199702,1980s,"A process for in situ simulation of diagenetic processes in a subterranean formation is provided. A mineral substrate is placed in the formation of interest in a sealed vessel. The vessel is opened so as to expose the mineral substrate to formation fluids. After sufficient time for the formation fluids to act upon the mineral substrate, the substrate is removed from the formation and is examined for physical and chemical effects indicative of porosity changes in the formation.",4681854
58500,352384,1980s,"A noise reducing apparatus is disclosed, comprising a lens-type hollow body consisting of a plurality of inclined hollow tubular passages. The lens-type hollow body has a plane incident surface and a curved emission surface and the length L.sub.2 of the hollow tubular passage is optimized in accordance with relevant dimensional parameters of setting of the lens-type hollow body in a sound field, to reduce noise from a spot sound source efficiently.",4858720
58520,394945,1980s,"In a document sheet feeding and registration apparatus for deskewing a document sheet relative to a desired copying position on a copier platen while feeding the document sheet onto the platen into said copying position, there is disclosed a method and apparatus including obtaining an electrical signal corresponding to the actual velocity of the document sheet being fed onto the platen, and actuating an automatic document sheet deskewing device at a precise actuating time occurring slightly before the document sheet reaches the copying position, so that the actuating time of said document sheet deskewing corresponds to the actual velocity of the document sheet. The electrical signal corresponding to the actual document sheet velocity may be obtained by counting the elapsed time between the actuation of first and second switches substantially spaced from one another along the document sheet path upstream of the copier platen. The actuating time of the document sheet deskewing device may be a resettable time delay count after the actuation of said second switch, which time delay count is resettable by a change in the counted time period between the actuation of said first and second switches. The automatic document sheet deskewing device may comprise a releaseable skew preventing document feeder releasing the document sheet at said actuating time to another feeder for briefly driving the document sheet into a registration aligning edge while freely allowing deskewing movement of the document sheet thereagainst after said actuating time.",4428666
58533,348437,1980s,"A method and apparatus for making doll clothing and doll house accessories includes a plurality of mold shapes or forms which are used to produce various articles of attire such as dresses, pants, and doll house furnishings such as cushions, curtains, rugs, flowers and many other items. Each of the garment molds may include detachable portions, such as the arms, to facilitate removing a finished article from the mold itself. The doll house accessories are made in generally flat molds which provide the texture and shape of the finished item. A viscous, liquid plastic is applied to the exterior surface of the mold by a brush or other tool to cover the exterior of the mold which defines the particular article. The liquid coating sets or solidifies to form a flexible article adapting the contours of the mold. The garment is then removed from the exterior of the mold.",4297153
58571,4995,1980s,,D292981
58597,394945,1980s,"In a document sheet feeding and registration apparatus for deskewing a document sheet relative to a desired copying position on a copier platen while feeding the document sheet onto the platen into said copying position, there is disclosed a method and apparatus including obtaining an electrical signal corresponding to the actual velocity of the document sheet being fed onto the platen, and actuating an automatic document sheet deskewing device at a precise actuating time occurring slightly before the document sheet reaches the copying position, so that the actuating time of said document sheet deskewing corresponds to the actual velocity of the document sheet. The electrical signal corresponding to the actual document sheet velocity may be obtained by counting the elapsed time between the actuation of first and second switches substantially spaced from one another along the document sheet path upstream of the copier platen. The actuating time of the document sheet deskewing device may be a resettable time delay count after the actuation of said second switch, which time delay count is resettable by a change in the counted time period between the actuation of said first and second switches. The automatic document sheet deskewing device may comprise a releaseable skew preventing document feeder releasing the document sheet at said actuating time to another feeder for briefly driving the document sheet into a registration aligning edge while freely allowing deskewing movement of the document sheet thereagainst after said actuating time.",4428666
58625,274097,1980s,"An electro-optic printer of the type having a laser, a modulator for modulating the laser beam in accordance with image signals; an optical system including a rotating polygon for sweeping the modulated beam across the photosensitive drum of a xerographic system to expose the drum and create images thereon, the modulator having a plurality of separately controlled electrode groups effective to modulate portions of the laser beam in accordance with individual lines of image signals to enable multiple image lines to be exposed at once on the photosensitive drum; and a step drive to synchronously step the photosensitive drum in increments equal to the combined width of the lines being processed. In a first alternate embodiment, the modulator is based on a wave guide, and in a second alternate embodiment, the modulator is composed of a series of flexible reflective fingers.",4554561
58632,394565,1980s,"A recording apparatus in which the cantilevered arm supporting a recording device has a smoothly curved surface adjacent the flexure spring joining the arm to a carriage whereby a rolling pivot is provided such that the bending stress on the flexure spring is minimized and is constant and independent of the degree that the cantilevered arm is raised. An end of the cantilevered arm is held against the carriage by a spring, one end of which is coupled to a translation mechanism which permits the recording device load force to be adjusted.",4323938
58655,433686,1980s,"Integrated laser diode devices are utilized as repeater elements and logic circuit elements in fiber optic and other light transfer systems. One embodiment discloses a six layer device (10) which is triggered not by an external electrical gating source, but by an external light source (8, 9) as from an optical fiber. Another embodiment operates a laser diode in a bilateral mode. That is, depending on the polarity of the applied voltage bias V to the device (50), two separate light pulses are emitted from different regions (56, 52) of the crystal. A further embodiment utilizes the semiconductor laser as a logical AND function. When the electrical bias (V) of the device (60) is set so that when at least two external light sources (67, 68) are applied, the device will emit laser light (69). Still another embodiment utilizes two semiconductor laser devices (911, 913) as an astable optical multivibrator (90).",4555785
58680,560147,1980s,"A multistage process and apparatus for regenerating fluid catalytic cracking catalyst is disclosed. Each stage preferably has a successively higher temperature, and flue gas is removed after each stage. The process may regenerate a single phase catalyst or, preferably, a dual phase catalyst system, wherein an intermediate pore zeolite catalyst contained within a less elutriatable catalyst particle and a larger pore zeolite catalyst contained within a more elutriatable catalyst particle, thereby separating the intermediate pore zeolite catalysts from the larger pore zeolite catalysts prior to a final regeneration step.",4814068
58692,77339,1980s,A compound of the formula ##STR1## is useful for treating circulatory diseases.,4200640
58703,433156,1980s,"Sheet inverting and stacking apparatus includes a rotatable inverter wheel having at least one arcuate sheet retaining slot into which a sheet may be inserted, the slot being sufficiently large in length that a substantial portion of the sheet may be inserted in the slot without the leading edge of the sheet contacting the end of the slot, a driver to incrementally rotate the wheel from a sheet load position to a sheet unload position, a driver to drive a sheet into the slot at the load position, the distance between the sheet driver and the end of the slot in the wheel being greater than the length of a sheet to be fed and a sheet stripper registration member at the unload position to strip a sheet from within the slot and register its leading edge. In a specific embodiment, the inverter comprises a fixed member having a generally cylindrical surface from the load position to the unload position and two parallel arcuate arms of larger diameter having parallel slots therein for transporting sheets from the load to the unload position and wherein the parallel arms are brought to a stop at both the load and unload positions.",4385756
58714,434364,1980s,"Printing apparatus for forming toner images in black and at least one highlighting color in a single pass of a change retentive imaging surface through the processing areas, including a development station, of the printing apparatus. The development station includes a pair of developer housings each of which has supported therein a pair of magnetic brush development rolls which are electrically biased to provide electrostatic development and cleaning fields between the charge retentive surface and the developer rolls. The rolls are biased such that the development fields between the first rolls in each housing and the charge retentive surface are greater than those between the charge retentive surface and the second rolls and such that the cleaning fields between the second rolls in each housing and the charge retentive surface are greater than those between the charge retentive surface and the first rolls.",4771314
58718,557774,1980s,"In a thermoplastic extrusion system where a single extruder feeds molten polymer through a manifold to a plurality of separate extrusion orifices, a valve system is provided which distributes and regulates the flow of the molten polymer to the individual extrusion orifices.",4234018
58733,528851,1980s,"An infrared radiation detector is provided for receiving an infrared radiation emitted from a material being cooked placed in a cooking chamber in a microwave oven. The microwave oven is provided with a keyboard, a digital display and a microcomputer, such that when a temperature operation mode is set by entry from the keyboard the set temperature data is stored in a memory. In the temperature operation mode, the temperature of the material being cooked is detected in terms of a voltage associated with the output from the infrared radiation detector and a magnetron of the microwave oven is energized until the above described detected voltage becomes equal to the set temperature data and the magnetron is deenergized when both coincide with each other. In the temperature operation mode the temperature of the material being cooked is displayed by the digital display.",4467164
58744,51624,1980s,"A contour compensating circuit is disclosed for compensating a video signal in such a manner as to obtain contour portions which are not overly stressed. The compensating operation of the contour compensating circuit according to this invention is performed by obtaining a full-wave rectified signal of the primary differentiated signal of a video signal and the positive- and negative-phase signals of a secondary differentiated signal thereof and forming a secondary pseudo-differentiated signal with a narrow pre and post overshooting width range from the signals obtained by selecting a first higher level signal between the full-wave rectified signal and one of the positive-phase signal and the half-wave signal thereof identical in porality with the full-wave signal, selecting a second higher level signal between the full-wave rectified signal and one of the negative-phase signal and the half-wave signal thereof identical in porality with the full-wave signal and comparing the first and second higher level signals, half-wave signal and the full-wave rectified signal. The resulting signal is superposed on the video signal.",4780623
58757,65820,1980s,"A rubber composition composed of natural rubber alone or a blend rubber consisting of natural rubber and not more than 50% by weight of at least one kind of a diene base synthetic rubber, and containing carbon black satisfying the following relations in an amount from 35 to 55 parts by weight with respect to 100 parts of the rubber component: PA1 (a) Nitrogen adsorption specific surface area (N.sub.2 SA) is from 115 to 135 m.sup.2 /g. PA1 (b) The strength (.DELTA.DBP) of the agglomerates defined by the following formula is not more than 18 ml/100 g. EQU .DELTA.DBP(ml/100 g)=DBP-24M4DBP PA1 (c) An oil adsorption at 24M4DBP is from 95 to 110 ml/100 g. PA1 (d) A ratio of the nitrogen adsorbing specific surface area (N.sub.2 SA) (m.sup.2 /g) to iodine adsorbing specific surface area (IA) (mg/g) is from 1.05 to 1.20.",4678830
58760,4728,1980s,"Gripping device (1), primarily intended for handling objects of circular cross-section such as shafts, round metal plates or rings with the aid of industrial robots. It comprises three parallel shafts (10a, b, c) with gripping arms with gripping members (11a, b, c). The shafts (10a, b, c) are rotatably journalled in a plane supporting member (2, 3). A drive motor (16) drives one shaft (10a). The other shafts (10b, 10c) are connected together with the driven shaft (10a) by means of gear wheels (14a, b, c), one on the driven shaft (10a) and one on either of the other two shafts (10b, 10c), and two racks (20a, 20b) in mesh with the gear wheel (14a) on the driven shaft (10a) and one of the gear wheels (14b, 14c) on the other shafts (10b, 10c).",4367893
58815,558520,1980s,A novel process for reducing Mo(V) or Mo(VI) dialkyldithiophosphates to Mo(IV) dialkyldithiophosphates with H.sub.2 S is provided. Homologues higher than the ethyl compound are oil soluble and novel. Lubricant compositions containing same provide reduced wear and friction.,4428861
58861,417760,1980s,Energizing a solenoid causes mechanical means to close a pair of jaws and crimp a cable in a U-shaped cable clamp mounted to a multi-contact connector positioned for termination in an electrically powered termination tool. A movable carriage carries termination means and controls activation of switch means for energizing the solenoid during a portion of its travel. The mechanical means comprise either a link block and toggle levers or bell cranks and push bars. Hold-down means are provided for temporarily holding the cable in the clamp prior to closure.,4461074
58873,390185,1980s,"Amides of carnitine or acyl-carnitines having general formula: ##STR1## wherein X.sup.- is a halogen anion, e.g. the chloride anion PA0 R is either hydrogen or an acyl radical, such as acetyl, propionyl or butyryl; and PA0 Y is the residue of an optically active esterified amino-acid (e.g. the residue of L-phenylglycine methyl ester, ##STR2## are prepared by either (a) directly condensing D,L-carnitine (or acyl-D,L-carnitine) with an ester of an optically active aminoacid, or (b) preparing the acid halogenide of D,L-carnitine or acyl-D,L-carnitine and subsequently condensing it with an ester of an optically active aminoacid. The mixture of the diastereoisomer amides thus obtained is resolved by fractional crystallization from organic solvents into the respective separated diastereoisomers. These optically active amides are useful therapeutic agents for treating cardiac disorders, hyperlipidaemias and hyperlipoproteinaemias and, furthermore, can be hydrolyzed with procedures known per se into L-carnitine and D-carnitine, respectively.",4343947
58883,84247,1980s,The dice of a wafer are serialized using a wafer mask formed by stepping and repeating a chip pattern with a blank area in rows and columns on the wafer and forming distinctive location identifying indicia in the blank area on each chip using a pattern generator and stepping to each blank area on each chip.,4409686
58896,395715,1980s,"A printwheel, for use in a serial printer, in which the spokes pass in contact with a printwheel alignment member, which contact is a noise generation and wear inducing source. The printwheel is designed to include a noise and wear reducing element. The printwheel spokes terminate in character pads bearing type faces on one side thereof and are hammered on their opposite side. A wiping element is secured to the printwheel hub and lies adjacent to the spokes on the hammered side. The wiping element includes a ring of continuous, low mass, flexible material, having a wear resistant surface. The ring is located immediately radially inwardly of the character pads. P",4673305
58899,434082,1980s,"Disclosed is a heterophase ink composition comprised of a water insoluble polymer dispersed in a liquid medium, the polymer containing therein an oil soluble dye, and a nonionic stabilizer permanently attached thereto.",4680332
58933,198852,1980s,Carbon black reactors have dual fluid injectors whereby liquid hydrocarbonaceous feedstock atomized by discharging the feedstock through a dual fluid injector with an atomizing fluid. A method for cleaning coke deposits from such dual fluid injectors comprises interrupting the supply of atomizing fluid thereto a cleaning interval effective to remove the coke deposits.,4439400
58947,274233,1980s,"An electrographic writing head capable of placing continuous marks upon a record medium in response to the application of a high voltage to selected writing styluses. The writing head includes a substrate upon which stylus electrodes, multiplexed driver circuitry and active devices are integrally fabricated by thin film deposition techniques. For each stylus, there is provided a high voltage thin film transistor and a latching circuit for holding the state of the high voltage transistor for substantially an entire line writing time.",4588997
58960,183232,1980s,Closure for a sample vial utilized to introduce sample into a gas chromatograph in accordance with the head space method. The closure includes a flexible disc for closing the opening through the neck of the vial and overlying the margin of the neck about the vial opening. A cap having a central aperture defining an annular shoulder about the aperture overlies the disc. The cap has an annular depending skirt encompassing the disc for clamping about the neck of the vial to retain the disc and the cap on the vial. A portion of the closure is deformable for venting the vial to atmosphere in response to a pressure within the vial when the closure is applied thereto in excess of a predetermined pressure.,4248355
58971,77029,1980s,"Ozone generated for chemiluminescent reaction in an analyzer for the measurement of oxides of nitrogen, for example, is purified by passing the ozone through a bed of silica gel, thereby removing substances that interfere with the analysis.",4236895
58986,395772,1980s,"A compact xerographic copying or printing machine with fuser and xerographic sections placed close together, an air manifold separating the fuser and xerographic sections having plural air passages through which cooling air flows and forming one leg of a U-shaped thermal air curtain, an air baffle between the manifold and fuser sections and cooperating with the outside of the manifold to form the second leg of the air curtain so that air leaving the manifold undergoes a 180.degree. turn and passes through the second leg to a filter and the inlet of an exhaust fan.",4693588
59007,4728,1980s,"Gripping device (1), primarily intended for handling objects of circular cross-section such as shafts, round metal plates or rings with the aid of industrial robots. It comprises three parallel shafts (10a, b, c) with gripping arms with gripping members (11a, b, c). The shafts (10a, b, c) are rotatably journalled in a plane supporting member (2, 3). A drive motor (16) drives one shaft (10a). The other shafts (10b, 10c) are connected together with the driven shaft (10a) by means of gear wheels (14a, b, c), one on the driven shaft (10a) and one on either of the other two shafts (10b, 10c), and two racks (20a, 20b) in mesh with the gear wheel (14a) on the driven shaft (10a) and one of the gear wheels (14b, 14c) on the other shafts (10b, 10c).",4367893
59013,348355,1980s,A competitive game device employing propulsion means suitable for propelling table tennis balls toward a target suitable for receiving such balls. The target is located in a field having sloping contours for guiding balls which have missed the target to return to a launching position from which such balls may again be propelled toward the target. This invention provides pneumatic podially operated ball propulsion means having actuators spaced from the field in which the target is located and which are movable with respect to each other and the field. Competing players or teams may be allocated sets of colored or otherwise coded balls to be launched and relaunched toward the target. The stations from which a competitor propels the allocated balls at the start of the game may be randomly selected. The relaunching of balls which have missed the target and have returned into one of the launching positions will require the competitor to move to or reach for the actuating means associated with the particular propulsion means to which his ball has been guided after missing the target following the initial launching. Victory is awarded to the competitor who first succeeds in placing into the receiving target a predetermined number of balls allocated to him. It has been found that the game is particularly entertaining when the pneumatic actuators are spaced from and encircle the field and are approximately equidistant from each other so as to require substantial physical locomotion.,4186927
59023,434481,1980s,A lamp system which erases selected portions of an electrically charged photoconductive member. The lamp has a transparent housing defining a chamber filled with a gaseous medium. A charge is induced across a selected region of the gaseous medium. This causes the gaseous medium to ionize in the selected region so as to emit light rays thereat. The light rays illuminate the electrically charged photoconductive member in the selected region to discharge the charge thereat.,4806975
59071,132034,1980s,Pump dispensers dispense liquids from the interior of a container without the need for removing the top. The pump dispenser employs a manually operated disk to which a diaphragm is attached to force air from an air chamber into the container interior where it displaces the liquid contents forcing them up a fluid tube and out a spout. A valve seals the air chamber except during pumping to prevent the entry of liquids into the air chamber.,4344548
